PONTO,ENSAIO,VIA,VARIAVEL,Latitude,Longitude
10,FWD,CE-060,78.2,-4.036664583333333,-38.62859952777778
10,FWD,CE-060,78.2,-4.050963916666666,-38.628608416666665
10,FWD,CE-060,78.2,-4.025509138888888,-38.62863213888889
10,FWD,CE-060,78.2,-4.036492055555556,-38.628653722222225
10,FWD,CE-060,78.2,-4.02567975,-38.628692055555554
10,FWD,CE-060,78.2,-4.036319527777778,-38.62870791666667
10,FWD,CE-060,78.2,-4.05110075,-38.62872625
10,FWD,CE-060,78.2,-4.025850361111111,-38.628751972222226
11,FWD,CE-060,68.5,-4.036147,-38.628762111111115
11,FWD,CE-060,68.5,-4.026020972222222,-38.62881186111111
11,FWD,CE-060,68.5,-4.035974472222222,-38.62881630555555
11,FWD,CE-060,68.5,-4.051237583333333,-38.628844083333334
11,FWD,CE-060,68.5,-4.0261915833333335,-38.628871777777775
11,FWD,CE-060,68.5,-4.035801944444445,-38.6288705
11,FWD,CE-060,68.5,-4.035629444444444,-38.62892469444444
11,FWD,CE-060,68.5,-4.026362194444444,-38.62893169444445
11,FWD,CE-060,68.5,-4.0513744166666665,-38.62896191666667
11,FWD,CE-060,68.5,-4.035456916666667,-38.62897888888889
11,FWD,CE-060,68.5,-4.026532805555555,-38.62899158333333
11,FWD,CE-060,68.5,-4.035284388888889,-38.62903305555555
11,FWD,CE-060,68.5,-4.026703388888889,-38.6290515
11,FWD,CE-060,68.5,-4.05151125,-38.62907975
11,FWD,CE-060,68.5,-4.035111861111111,-38.62908725
11,FWD,CE-060,68.5,-4.026874,-38.62911141666667
11,FWD,CE-060,68.5,-4.034939333333333,-38.62914144444444
11,FWD,CE-060,68.5,-4.027044611111111,-38.62917130555556
11,FWD,CE-060,68.5,-4.034766805555555,-38.62919563888889
11,FWD,CE-060,68.5,-4.051648111111111,-38.62919758333334
11,FWD,CE-060,68.5,-4.027215222222222,-38.629231222222224
11,FWD,CE-060,68.5,-4.034594277777778,-38.62924983333333
11,FWD,CE-060,68.5,-4.027385833333334,-38.62929111111111
11,FWD,CE-060,68.5,-4.034421777777777,-38.62930402777778
11,FWD,CE-060,68.5,-4.051784944444444,-38.629315416666664
11,FWD,CE-060,68.5,-4.0275564444444445,-38.62935102777778
12,FWD,CE-060,76.0,-4.03424925,-38.62935822222222
12,FWD,CE-060,76.0,-4.027727055555555,-38.629410944444444
12,FWD,CE-060,76.0,-4.034076722222222,-38.62941241666667
12,FWD,CE-060,76.0,-4.051921777777777,-38.62943325
12,FWD,CE-060,76.0,-4.033904194444444,-38.62946661111111
12,FWD,CE-060,76.0,-4.027897638888889,-38.629470833333336
12,FWD,CE-060,76.0,-4.033731666666666,-38.62952077777778
12,FWD,CE-060,76.0,-4.02806825,-38.62953075
12,FWD,CE-060,76.0,-4.052058611111111,-38.62955108333333
12,FWD,CE-060,76.0,-4.033559138888889,-38.62957497222222
12,FWD,CE-060,76.0,-4.028238861111111,-38.629590666666665
12,FWD,CE-060,76.0,-4.033386611111111,-38.62962916666667
12,FWD,CE-060,76.0,-4.028409472222222,-38.62965055555556
12,FWD,CE-060,76.0,-4.052195444444444,-38.62966891666667
12,FWD,CE-060,76.0,-4.033214111111111,-38.62968336111111
12,FWD,CE-060,76.0,-4.028580083333333,-38.62971047222222
12,FWD,CE-060,76.0,-4.0330415833333335,-38.62973755555556
12,FWD,CE-060,76.0,-4.028750694444445,-38.629770388888886
12,FWD,CE-060,76.0,-4.0328690555555555,-38.62979175
12,FWD,CE-060,76.0,-4.0523322777777775,-38.62978675
12,FWD,CE-060,76.0,-4.0289213055555555,-38.62983027777778
12,FWD,CE-060,76.0,-4.0326965277777775,-38.62984594444445
12,FWD,CE-060,76.0,-4.029091888888889,-38.62989019444444
12,FWD,CE-060,76.0,-4.0325239999999996,-38.62990013888889
12,FWD,CE-060,76.0,-4.052469111111111,-38.629904583333335
12,FWD,CE-060,76.0,-4.0292625,-38.629950111111114
13,FWD,CE-060,57.5,-4.0323514722222225,-38.62995433333333
13,FWD,CE-060,57.5,-4.0321789444444445,-38.6300085
13,FWD,CE-060,57.5,-4.0294331111111115,-38.63001
13,FWD,CE-060,57.5,-4.052605944444444,-38.63002241666667
13,FWD,CE-060,57.5,-4.032006444444445,-38.63006269444445
13,FWD,CE-060,57.5,-4.029603722222222,-38.63006991666667
13,FWD,CE-060,57.5,-4.031833916666667,-38.63011688888889
13,FWD,CE-060,57.5,-4.029774333333333,-38.630129805555555
13,FWD,CE-060,57.5,-4.052742777777778,-38.63014027777778
13,FWD,CE-060,57.5,-4.031661388888889,-38.63017108333333
13,FWD,CE-060,57.5,-4.029944944444444,-38.63018972222222
13,FWD,CE-060,57.5,-4.031488861111111,-38.630225277777775
13,FWD,CE-060,57.5,-4.030115555555556,-38.63024963888889
13,FWD,CE-060,57.5,-4.052879611111111,-38.63025811111111
13,FWD,CE-060,57.5,-4.031316333333333,-38.63027947222222
13,FWD,CE-060,57.5,-4.030286138888889,-38.630309527777776
13,FWD,CE-060,57.5,-4.031143805555556,-38.630333666666665
13,FWD,CE-060,57.5,-4.03045675,-38.63036944444445
13,FWD,CE-060,57.5,-4.053016444444444,-38.630375944444445
13,FWD,CE-060,57.5,-4.030971277777778,-38.63038786111111
13,FWD,CE-060,57.5,-4.030627361111111,-38.63042936111111
13,FWD,CE-060,57.5,-4.03079875,-38.630442027777775
13,FWD,CE-060,57.5,-4.053153305555555,-38.63049377777778
13,FWD,CE-060,57.5,-4.0532901388888884,-38.630611611111114
13,FWD,CE-060,57.5,-4.053410749999999,-38.63074463888889
13,FWD,CE-060,57.5,-4.053520472222222,-38.63088786111111
14,FWD,CE-060,39.8,-4.053630194444445,-38.63103108333333
14,FWD,CE-060,39.8,-4.053739944444445,-38.631174305555554
14,FWD,CE-060,39.8,-4.053849666666666,-38.63131752777778
14,FWD,CE-060,39.8,-4.053959416666666,-38.63146075
14,FWD,CE-060,39.8,-4.054069138888889,-38.63160397222222
14,FWD,CE-060,39.8,-4.054178861111111,-38.63174719444444
14,FWD,CE-060,39.8,-4.054288611111111,-38.631890416666664
14,FWD,CE-060,39.8,-4.054398333333333,-38.63203363888889
14,FWD,CE-060,39.8,-4.054508083333333,-38.63217686111111
14,FWD,CE-060,39.8,-4.054617805555555,-38.63232008333333
14,FWD,CE-060,39.8,-4.054727555555555,-38.632463305555554
14,FWD,CE-060,39.8,-4.054837277777778,-38.63260652777778
14,FWD,CE-060,39.8,-4.054946999999999,-38.63274975
14,FWD,CE-060,39.8,-4.055056749999999,-38.63289297222222
14,FWD,CE-060,39.8,-4.055166472222222,-38.63303619444444
14,FWD,CE-060,39.8,-4.055276222222222,-38.633179416666664
14,FWD,CE-060,39.8,-4.055385944444445,-38.63332263888889
14,FWD,CE-060,39.8,-4.055495666666666,-38.63346586111111
14,FWD,CE-060,39.8,-4.055605416666666,-38.63360908333333
14,FWD,CE-060,39.8,-4.055715138888889,-38.633752305555554
14,FWD,CE-060,39.8,-4.055824888888889,-38.6338955
14,FWD,CE-060,39.8,-4.055934611111111,-38.63403872222222
14,FWD,CE-060,39.8,-4.056044361111111,-38.63418194444444
14,FWD,CE-060,39.8,-4.056154083333333,-38.63432516666666
14,FWD,CE-060,39.8,-4.056263805555555,-38.63446838888889
14,FWD,CE-060,39.8,-4.056373555555555,-38.63461161111111
15,FWD,CE-060,63.9,-4.056483277777778,-38.63475483333333
15,FWD,CE-060,63.9,-4.056593027777778,-38.63489805555555
15,FWD,CE-060,63.9,-4.0567027499999995,-38.63504127777778
15,FWD,CE-060,63.9,-4.056812472222222,-38.6351845
15,FWD,CE-060,63.9,-4.056922222222222,-38.63532772222222
15,FWD,CE-060,63.9,-4.057031944444445,-38.63547094444444
15,FWD,CE-060,63.9,-4.057141694444444,-38.63561416666666
